epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,8496.51,0.70023,1.48159,0.43218,0.50995,1.05067,0.95137,0.88462,0.97301,0.72844,0.95137,0.88462,0.95867,0.6455,0.94793,1.62404,0.36217,0.65384,1.24587,0.0009209,0.0009209,0.0009209
111,8557.46,0.69331,1.28449,0.43131,0.46985,1.06306,0.92502,0.94936,0.97472,0.73385,0.92422,0.93846,0.95324,0.64807,1.01206,1.67643,0.36152,0.68513,1.31589,0.000911,0.000911,0.000911
112,8616.09,0.65691,1.45106,0.45323,0.47709,1.03152,0.92688,0.97547,0.97923,0.73554,0.88739,0.90956,0.91824,0.66967,0.98196,1.60341,0.36054,0.66696,1.28388,0.0009011,0.0009011,0.0009011
113,8675.02,0.75453,1.32576,0.41519,0.49,1.09458,0.91563,0.92308,0.97624,0.74366,0.91563,0.92308,0.96323,0.66018,0.91673,1.5913,0.35706,0.62063,1.18752,0.0008912,0.0008912,0.0008912
114,8734.19,0.78124,1.50638,0.46732,0.51217,1.12727,0.88136,0.92308,0.97163,0.73923,0.88136,0.92308,0.96286,0.70659,0.91535,1.46939,0.35006,0.62992,1.19438,0.0008813,0.0008813,0.0008813
115,8792.32,0.69781,1.22157,0.44151,0.48302,1.04979,0.88709,0.92308,0.96698,0.74325,0.88709,0.92308,0.96698,0.74107,0.93045,1.41492,0.34826,0.65487,1.18852,0.0008714,0.0008714,0.0008714
116,8850.76,0.73732,1.31497,0.42015,0.47741,1.05085,0.86545,0.98982,0.97622,0.75236,0.86545,0.98982,0.97622,0.74865,0.90816,1.42314,0.34844,0.61281,1.16931,0.0008615,0.0008615,0.0008615
117,8909.11,0.75026,1.4408,0.42227,0.52958,1.09637,0.88607,1,0.97843,0.7837,0.88607,1,0.97843,0.76998,0.88327,1.35081,0.35447,0.5748,1.14803,0.0008516,0.0008516,0.0008516
118,8970.29,0.70747,1.44948,0.44417,0.51694,1.08134,0.8943,1,0.97737,0.77523,0.8943,1,0.97737,0.78568,0.87459,1.29681,0.35783,0.55107,1.14824,0.0008417,0.0008417,0.0008417
119,9028.44,0.73286,1.40583,0.40323,0.48768,1.09589,0.85833,1,0.97743,0.77297,0.85833,1,0.97743,0.76057,0.88638,1.26438,0.34524,0.59547,1.17591,0.0008318,0.0008318,0.0008318
120,9087.63,0.69925,1.23391,0.44827,0.44933,1.01978,0.89509,0.9848,0.97862,0.76396,0.89509,0.9848,0.97862,0.75552,0.91341,1.31574,0.34144,0.60671,1.19421,0.0008219,0.0008219,0.0008219
121,9148.72,0.66436,1.23043,0.42815,0.47861,1.03591,0.89429,1,0.97737,0.75772,0.85899,0.96154,0.93216,0.66727,0.93756,1.50992,0.34103,0.61087,1.2402,0.000812,0.000812,0.000812
122,9207.72,0.73714,1.45515,0.45244,0.48329,1.08767,0.89412,0.97469,0.97508,0.75524,0.8923,0.95615,0.92957,0.65482,0.91788,1.49918,0.34922,0.60262,1.22739,0.0008021,0.0008021,0.0008021
123,9268.29,0.67005,1.15082,0.43153,0.4514,1.04711,0.89568,0.99091,0.97535,0.76463,0.92061,1,0.97825,0.68635,0.87767,1.42527,0.35107,0.57182,1.16801,0.0007922,0.0007922,0.0007922
124,9327.42,0.71855,1.33423,0.41484,0.47884,1.0669,0.9257,0.95847,0.97504,0.7566,0.92778,1,0.97643,0.71312,0.88436,1.38625,0.34919,0.56913,1.16363,0.0007823,0.0007823,0.0007823
125,9386.65,0.75638,1.22933,0.4479,0.48265,1.06442,0.92559,0.95707,0.97831,0.77677,0.92559,0.95707,0.98004,0.69565,0.87526,1.38851,0.35528,0.61062,1.1697,0.0007724,0.0007724,0.0007724
126,9446.86,0.68218,1.35053,0.42237,0.45653,1.03114,0.92539,0.95425,0.97799,0.78396,0.92539,0.95425,0.97799,0.7023,0.86745,1.46167,0.36672,0.61741,1.16665,0.0007625,0.0007625,0.0007625
127,9506.98,0.70877,1.39224,0.39713,0.48073,1.08491,0.92279,0.9195,0.97467,0.7759,0.92279,0.9195,0.97467,0.69956,0.86409,1.58539,0.38023,0.65336,1.16035,0.0007526,0.0007526,0.0007526
128,9566.99,0.70597,1.28733,0.42202,0.47435,1.05751,0.95341,0.88462,0.97747,0.78104,0.95341,0.88462,0.97747,0.70491,0.86484,1.5835,0.38236,0.68957,1.15645,0.0007427,0.0007427,0.0007427
129,9625.48,0.64912,1.24084,0.39081,0.46064,1.03185,0.95442,0.88462,0.97365,0.76812,0.95442,0.88462,0.97365,0.72854,0.93706,1.65125,0.37206,0.69113,1.20479,0.0007328,0.0007328,0.0007328
130,9683.31,0.71291,1.29421,0.4375,0.48676,1.04734,0.95446,0.88462,0.97336,0.75571,0.95446,0.88462,0.97336,0.70038,0.96986,1.73159,0.38162,0.70468,1.24173,0.0007229,0.0007229,0.0007229
131,9743.96,0.67123,1.12076,0.47369,0.45228,1.00919,0.92533,0.95349,0.97549,0.76972,0.92533,0.95349,0.97549,0.66773,0.92505,1.69803,0.36807,0.66885,1.21273,0.000713,0.000713,0.000713
